Scenario,Region,Variable,Year,Value
Current Policies,Alberta,Exports,2008,227.85
Current Policies,Alberta,Imports,2008,761.35
Current Policies,Alberta,Interprovincial In-Flows,2008,2298.93
Current Policies,Alberta,Interprovincial Out-Flows,2008,527.37
Current Policies,Alberta,Net Exports,2008,-533.5
Current Policies,Alberta,Net Interprovincial Out-Flows,2008,-1771.56
Current Policies,British Columbia,Exports,2008,8431.62
Current Policies,British Columbia,Imports,2008,11991.5
Current Policies,British Columbia,Interprovincial In-Flows,2008,439
Current Policies,British Columbia,Interprovincial Out-Flows,2008,1524.78
Current Policies,British Columbia,Net Exports,2008,-3559.88
Current Policies,British Columbia,Net Interprovincial Out-Flows,2008,1085.78
Current Policies,Canada,Exports,2008,56022.14
Current Policies,Canada,Imports,2008,23863.62
Current Policies,Canada,Interprovincial In-Flows,2008,47999.26
Current Policies,Canada,Interprovincial Out-Flows,2008,47999.03
Current Policies,Canada,Net Exports,2008,32158.52
Current Policies,Canada,Net Interprovincial Out-Flows,2008,-0.23
Current Policies,Manitoba,Exports,2008,9880.37
Current Policies,Manitoba,Imports,2008,87.88
Current Policies,Manitoba,Interprovincial In-Flows,2008,172.8
Current Policies,Manitoba,Interprovincial Out-Flows,2008,745.55
Current Policies,Manitoba,Net Exports,2008,9792.49
Current Policies,Manitoba,Net Interprovincial Out-Flows,2008,572.75
Current Policies,New Brunswick,Exports,2008,1112.42
Current Policies,New Brunswick,Imports,2008,274.87
Current Policies,New Brunswick,Interprovincial In-Flows,2008,1779.26
Current Policies,New Brunswick,Interprovincial Out-Flows,2008,1418.45
Current Policies,New Brunswick,Net Exports,2008,837.55
Current Policies,New Brunswick,Net Interprovincial Out-Flows,2008,-360.81
Current Policies,Newfoundland and Labrador,Exports,2008,0
Current Policies,Newfoundland and Labrador,Imports,2008,0
Current Policies,Newfoundland and Labrador,Interprovincial In-Flows,2008,17.11
Current Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2008,31430.6
Current Policies,Newfoundland and Labrador,Net Exports,2008,0
Current Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2008,31413.49
Current Policies,Nova Scotia,Exports,2008,12.69
Current Policies,Nova Scotia,Imports,2008,272.69
Current Policies,Nova Scotia,Interprovincial In-Flows,2008,300.22
Current Policies,Nova Scotia,Interprovincial Out-Flows,2008,10.86
Current Policies,Nova Scotia,Net Exports,2008,-260
Current Policies,Nova Scotia,Net Interprovincial Out-Flows,2008,-289.36
Current Policies,Ontario,Exports,2008,18751
Current Policies,Ontario,Imports,2008,8123
Current Policies,Ontario,Interprovincial In-Flows,2008,3639
Current Policies,Ontario,Interprovincial Out-Flows,2008,4583
Current Policies,Ontario,Net Exports,2008,10628
Current Policies,Ontario,Net Interprovincial Out-Flows,2008,944
Current Policies,Prince Edward Island,Exports,2008,0
Current Policies,Prince Edward Island,Imports,2008,0
Current Policies,Prince Edward Island,Interprovincial In-Flows,2008,1080.57
Current Policies,Prince Edward Island,Interprovincial Out-Flows,2008,0.41
Current Policies,Prince Edward Island,Net Exports,2008,0
Current Policies,Prince Edward Island,Net Interprovincial Out-Flows,2008,-1080.16
Current Policies,Quebec,Exports,2008,17469
Current Policies,Quebec,Imports,2008,1358
Current Policies,Quebec,Interprovincial In-Flows,2008,37589
Current Policies,Quebec,Interprovincial Out-Flows,2008,6975
Current Policies,Quebec,Net Exports,2008,16111
Current Policies,Quebec,Net Interprovincial Out-Flows,2008,-30614
Current Policies,Saskatchewan,Exports,2008,137.2
Current Policies,Saskatchewan,Imports,2008,431.65
Current Policies,Saskatchewan,Interprovincial In-Flows,2008,683.37
Current Policies,Saskatchewan,Interprovincial Out-Flows,2008,783.01
Current Policies,Saskatchewan,Net Exports,2008,-294.45
Current Policies,Saskatchewan,Net Interprovincial Out-Flows,2008,99.64
Evolving Policies,Alberta,Exports,2008,227.85
Evolving Policies,Alberta,Imports,2008,761.35
Evolving Policies,Alberta,Interprovincial In-Flows,2008,2298.93
Evolving Policies,Alberta,Interprovincial Out-Flows,2008,527.37
Evolving Policies,Alberta,Net Exports,2008,-533.5
Evolving Policies,Alberta,Net Interprovincial Out-Flows,2008,-1771.56
Evolving Policies,British Columbia,Exports,2008,8431.62
